ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,2024-03-05,5.434,5.475,5.419,5.438,14374633.61,7835337.665
510500.SH,2024-03-06,5.43,5.496,5.382,5.433,3197713.39,1739577.363
510500.SH,2024-03-07,5.432,5.474,5.357,5.363,2502329.01,1355027.777
510500.SH,2024-03-08,5.37,5.453,5.353,5.434,3050535.65,1647750.286
510500.SH,2024-03-11,5.432,5.539,5.423,5.536,3991840.8,2185225.02
510500.SH,2024-03-12,5.535,5.564,5.468,5.505,4177688.77,2302873.871
510500.SH,2024-03-13,5.506,5.549,5.47,5.497,3468047.49,1909456.399
510500.SH,2024-03-14,5.488,5.531,5.433,5.474,3181944.97,1744951.635
510500.SH,2024-03-15,5.463,5.55,5.437,5.549,5115451.15,2803900.784
510500.SH,2024-03-18,5.552,5.624,5.541,5.62,3232054.4,1802999.075
510500.SH,2024-03-19,5.61,5.615,5.557,5.561,2756072.04,1540655.668
510500.SH,2024-03-20,5.562,5.591,5.543,5.575,1883091.28,1048538.572
510500.SH,2024-03-21,5.588,5.599,5.537,5.548,2434398.87,1354248.8
510500.SH,2024-03-22,5.547,5.548,5.437,5.465,2469633.13,1352646.428
510500.SH,2024-03-25,5.459,5.485,5.374,5.384,2705562.09,1470479.128
510500.SH,2024-03-26,5.386,5.408,5.325,5.36,4751667.84,2550111.826
510500.SH,2024-03-27,5.358,5.358,5.233,5.236,3402234.81,1803119.168
510500.SH,2024-03-28,5.239,5.361,5.239,5.303,3555236.02,1885426.261
510500.SH,2024-03-29,5.295,5.375,5.288,5.371,3831433.58,2042485.157
510500.SH,2024-04-01,5.387,5.493,5.386,5.484,4064102.72,2217313.497
510500.SH,2024-04-02,5.483,5.489,5.431,5.462,3321813.48,1812871.679
510500.SH,2024-04-03,5.456,5.466,5.428,5.459,3977985.45,2167619.898
510500.SH,2024-04-08,5.45,5.465,5.375,5.379,3293271.64,1785032.805
510500.SH,2024-04-09,5.374,5.426,5.369,5.424,1786721.25,964306.442
510500.SH,2024-04-10,5.421,5.421,5.32,5.361,1975754.4,1061909.146
510500.SH,2024-04-11,5.336,5.441,5.325,5.386,3038010.38,1641704.048
510500.SH,2024-04-12,5.386,5.425,5.347,5.357,3122912.83,1679792.228
510500.SH,2024-04-15,5.35,5.464,5.303,5.428,3151157.58,1702167.108
510500.SH,2024-04-16,5.396,5.429,5.263,5.28,3905146.1,2085941.389
510500.SH,2024-04-17,5.288,5.424,5.288,5.421,3833424.57,2058459.036
510500.SH,2024-04-18,5.41,5.5,5.377,5.431,3403175.99,1851687.972
510500.SH,2024-04-19,5.413,5.451,5.37,5.394,3573340.0,1930070.728
510500.SH,2024-04-22,5.386,5.43,5.34,5.349,1958488.84,1052433.481
510500.SH,2024-04-23,5.348,5.374,5.276,5.287,1890163.13,1003085.449
510500.SH,2024-04-24,5.296,5.35,5.26,5.349,1771454.09,940284.676
510500.SH,2024-04-25,5.33,5.385,5.31,5.341,1926664.2,1029843.33
510500.SH,2024-04-26,5.347,5.475,5.346,5.461,7970795.05,4329716.776
510500.SH,2024-04-29,5.469,5.586,5.465,5.567,5666414.71,3138793.82
510500.SH,2024-04-30,5.565,5.575,5.526,5.529,2767038.17,1535170.863
510500.SH,2024-05-06,5.6,5.63,5.589,5.614,5129669.5,2877857.689
510500.SH,2024-05-07,5.61,5.631,5.593,5.613,2289327.48,1284759.439
510500.SH,2024-05-08,5.61,5.61,5.538,5.542,3975569.65,2209922.264
510500.SH,2024-05-09,5.539,5.663,5.539,5.643,2970079.02,1671070.31
510500.SH,2024-05-10,5.647,5.666,5.582,5.623,5121578.59,2872238.383
510500.SH,2024-05-13,5.586,5.62,5.548,5.594,3272228.04,1826421.973
510500.SH,2024-05-14,5.593,5.636,5.57,5.588,2687403.63,1503325.676
510500.SH,2024-05-15,5.588,5.588,5.527,5.539,2731969.24,1518528.125
510500.SH,2024-05-16,5.555,5.577,5.495,5.513,2383653.19,1319818.161
510500.SH,2024-05-17,5.439,5.507,5.42,5.504,5151666.66,2813505.491
510500.SH,2024-05-20,5.507,5.548,5.492,5.524,5322736.37,2938657.577
