ts_code,name,call_put,exercise_price,list_date,delist_date,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,expire_date,days_to_expire,price_diff
10008303.SH,南方中证500ETF期权2506认购6.149,C,6.149,20241024,20250625,2024-11-05,SSE,0.417,0.4043,0.3987,0.5122,0.3987,0.5033,0.5033,237.0,112.3266,317.0,2025-06-25,232,0.06700000000000017
10008023.SH,南方中证500ETF期权2411认购6.25,C,6.25,20240930,20241127,2024-11-06,SSE,0.1933,0.1933,0.2017,0.2434,0.154,0.1789,0.1789,216700.0,43823.9947,52007.0,2024-11-27,21,0.027000000000000135
10007322.SH,南方中证500ETF期权2412认购6.25,C,6.25,20240517,20241225,2024-11-06,SSE,0.2779,0.2779,0.286,0.3266,0.2418,0.2698,0.2698,11831.0,3406.8157,12279.0,2024-12-25,49,0.027000000000000135
10008027.SH,南方中证500ETF期权2503认购6.149,C,6.149,20240930,20250326,2024-11-06,SSE,0.4067,0.4067,0.4202,0.4617,0.3806,0.4043,0.4043,2413.0,1022.8173,3606.0,2025-03-26,140,0.07399999999999984
10008303.SH,南方中证500ETF期权2506认购6.149,C,6.149,20241024,20250625,2024-11-06,SSE,0.5033,0.5033,0.521,0.5474,0.4825,0.485,0.4973,577.0,300.3202,693.0,2025-06-25,231,0.07399999999999984
10008023.SH,南方中证500ETF期权2411认购6.25,C,6.25,20240930,20241127,2024-11-07,SSE,0.1789,0.1789,0.1685,0.2284,0.1541,0.2284,0.2284,166860.0,31826.0289,54020.0,2024-11-27,20,0.09299999999999997
10007233.SH,南方中证500ETF期权2412认购6.398,C,6.398,20240429,20241225,2024-11-07,SSE,0.2192,0.217,0.2084,0.2482,0.2016,0.2477,0.2477,790.0,181.25694,2787.0,2024-12-25,48,0.054999999999999716
10008028.SH,南方中证500ETF期权2503认购6.394,C,6.394,20240930,20250326,2024-11-07,SSE,0.3211,0.3211,0.3013,0.363,0.3013,0.3605,0.3605,1711.0,562.4799,5966.0,2025-03-26,139,0.051000000000000156
10008304.SH,南方中证500ETF期权2506认购6.394,C,6.394,20241024,20250625,2024-11-07,SSE,0.4114,0.43,0.3948,0.4587,0.3948,0.4587,0.452,192.0,81.711,297.0,2025-06-25,230,0.051000000000000156
10008023.SH,南方中证500ETF期权2411认购6.25,C,6.25,20240930,20241127,2024-11-08,SSE,0.2284,0.2284,0.2659,0.2928,0.1963,0.2072,0.2072,115886.0,28326.0168,52994.0,2024-11-27,19,0.07599999999999962
