ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10007120.SH,易方达上证科创板50ETF期权2405认沽0.75,OP588080.SH,ETF期权,P,0.75,20240522,20240328,20240522
10006837.SH,易方达上证科创板50ETF期权2402认购0.50,OP588080.SH,ETF期权,C,0.5,20240228,20240131,20240228
10007546.SH,易方达上证科创板50ETF期权2412认沽0.50,OP588080.SH,ETF期权,P,0.5,20241225,20240703,20241225
10008249.SH,易方达上证科创板50ETF期权2412认沽1.15,OP588080.SH,ETF期权,P,1.15,20241225,20241009,20241225
10006585.SH,易方达上证科创板50ETF期权2402认沽0.80,OP588080.SH,ETF期权,P,0.8,20240228,20231228,20240228
10006108.SH,易方达上证科创板50ETF期权2311认沽0.80,OP588080.SH,ETF期权,P,0.8,20231122,20230928,20231122
10009136.SH,易方达上证科创板50ETF期权2505认沽1.05,OP588080.SH,ETF期权,P,1.05,20250528,20250327,20250528
10007033.SH,易方达上证科创板50ETF期权2404认购0.55,OP588080.SH,ETF期权,C,0.55,20240424,20240328,20240424
10008258.SH,易方达上证科创板50ETF期权2503认沽1.20,OP588080.SH,ETF期权,P,1.2,20250326,20241009,20250326
10008650.SH,易方达上证科创板50ETF期权2502认购1.10,OP588080.SH,ETF期权,C,1.1,20250226,20241226,20250226
10006805.SH,易方达上证科创板50ETF期权2409认购0.75,OP588080.SH,ETF期权,C,0.75,20240925,20240125,20240925
10007829.SH,易方达上证科创板50ETF期权2503认购0.45,OP588080.SH,ETF期权,C,0.45,20250326,20240910,20250326
10006990.SH,易方达上证科创板50ETF期权2404认购0.75,OP588080.SH,ETF期权,C,0.75,20240424,20240229,20240424
10006574.SH,易方达上证科创板50ETF期权2402认购0.70,OP588080.SH,ETF期权,C,0.7,20240228,20231228,20240228
10006580.SH,易方达上证科创板50ETF期权2402认购1.00,OP588080.SH,ETF期权,C,1.0,20240228,20231228,20240228
10007221.SH,易方达上证科创板50ETF期权2412认沽0.60,OP588080.SH,ETF期权,P,0.6,20241225,20240425,20241225
